1990,10,40
1990,34,45
1990,5,56
1990,22,34
1990,45,56
1991,20,30
1991,11,23
1991,32,45
1991,45,56
1991,34,45
1991,23,45
1992,10,30
1992,34,45
1992,34,55
1992,34,45
1992,3,45
1992,45,23
1993,10,30
1993,20,30
1993,23,34
1993,0,0
1993,45,56
2000,23,34
2000,34,56
2000,22,34
2000,33,45
2001,34,65
2001,22,33
2001,12,34
2001,11,23
2002,34,45
2002,12,34
2002,23,34
2002,44,55
2002,12,34
2003,56,23
2003,11,23
2003,0,0
2003,1,23
2003,1,2
2003,23,34
2004,66,33
2004,23,34
2004,23,43
2004,34,56
2004,12,34
2005,76,89
2005,12,34
2005,12,34
2005,22,34
2005,11,45
2005,10,24
2005,10,33
2006,12,34
2006,33,45
2006,67,78
2006,10,23
2006,10,22
2006,11,24
2006,12,34
2007,14,25
2007,89,89
2007,45,56
2008,15,46
2008,9,56
2008,45,56
2008,12,34
2008,11,34
2009,30,56
2009,2,34
2009,23,45
2009,12,34
2009,34,56
2009,11,24
2010,34,46
2011,45,56
2012,22,34
2012,12,34
2012,12,34
2012,24,56
2012,45,67
2012,56,78
2013,44,56
2013,12,45
2013,23,45
2013,23,45
2014,02,03
2014,12,23
2014,23,34
